Size,Shell,Heap,Bead
50,0,0,0.03006
100,0,0,0.07014
200,0.02004,0.02004,0.11022
300,0.03006,0.03006,0.16028
400,0.04008,0.0501,0.19038
500,0.0501,0.06012,0.24044
600,0.06012,0.07014,0.33066
700,0.07014,0.08116,0.37074
800,0.08016,0.09018,0.44389
900,0.1012,0.1012,0.5511
1000,0.1012,0.12024,0.55511
